Service type_name,property,error_id,regex,error_message
AWS::S3::Bucket,"BucketName
",LENGTH_RULE,"^.{3,63}$
","Bucket names must be between 3 (min) and 63 (max) characters long.
"
AWS::S3::Bucket,BucketName,CONTENTS_RULE,"^[a-z0-9\\.\\-]*$
","Bucket names can consist only of lowercase letters, numbers, dots (.), and hyphens (-).
"
AWS::S3::Bucket,BucketName,BEGINNING_RULE,"^[a-z0-9]
","Bucket names must begin with a lowercase letter or number.
"
AWS::S3::Bucket,BucketName,ENDING_RULE,"[a-z0-9]$
",Bucket names must end with a letter or number.
AWS::S3::Bucket,BucketName,NO_TWO_ADJACENT_PERIODS_RULE,"^(?!.*\\.\\.).*$
",Bucket names must not contain two adjacent periods.
AWS::S3::Bucket,BucketName,NO_IP_ADDRESS_RULE,"^(?!(\\d{1,3}\\.){3}\\d{1,3}$)
","Bucket names must not be formatted as an IP address (for example, 192.168.5.4).

"
AWS::S3::Bucket,BucketName,NO_XN_BEGINNING_RULE,"^(?!xn—)
","Bucket names must not start with the prefix xn—.
"
AWS::S3::Bucket,BucketName,NO_S3_ALIAS_ENDING_RULE,"^(?!.*-s3alias$).*$
","Bucket names must not end with the suffix -s3alias.
"
,,"
",,
